site_id,event_start,event_end,n_alerts,top1_kpi,top2_kpi,top3_kpi,predicted_archetype,top_kpi_scores
S0,2024-01-11 00:00:00,2024-01-11 00:00:00,1,handover_success_rate,signal_quality_db,call_drop_rate,F1,"{'handover_success_rate': 1.13, 'signal_quality_db': 0.54, 'call_drop_rate': 0.51}"
S0,2024-01-11 07:00:00,2024-01-12 01:30:00,75,call_drop_rate,retransmission_rate,call_setup_success_rate,F6,"{'call_drop_rate': 12.37, 'retransmission_rate': 9.87, 'call_setup_success_rate': 6.21}"
S0,2024-01-12 08:30:00,2024-01-12 10:30:00,9,downlink_traffic_gb,active_users,cpu_load,F6,"{'downlink_traffic_gb': 4.09, 'active_users': 3.86, 'cpu_load': 3.8}"
S0,2024-01-12 11:30:00,2024-01-12 11:30:00,1,downlink_traffic_gb,temperature_c,cpu_load,F6,"{'downlink_traffic_gb': 2.59, 'temperature_c': 2.54, 'cpu_load': 2.4}"
S0,2024-01-12 17:30:00,2024-01-13 00:45:00,30,downlink_traffic_gb,cpu_load,active_users,F6,"{'downlink_traffic_gb': 3.5, 'cpu_load': 3.37, 'active_users': 3.35}"
S0,2024-01-14 17:00:00,2024-01-14 21:30:00,19,call_drop_rate,call_setup_success_rate,retransmission_rate,F6,"{'call_drop_rate': 10.11, 'call_setup_success_rate': 8.67, 'retransmission_rate': 6.99}"
S0,2024-01-15 06:30:00,2024-01-15 06:30:00,1,uplink_interference_dbm,latency_ms,supply_voltage_v,F3,"{'uplink_interference_dbm': 2.97, 'latency_ms': 2.74, 'supply_voltage_v': 2.5}"
S0,2024-01-15 07:30:00,2024-01-15 07:30:00,1,cpu_load,downlink_traffic_gb,latency_ms,F6,"{'cpu_load': 3.58, 'downlink_traffic_gb': 3.47, 'latency_ms': 3.47}"
S0,2024-01-15 08:00:00,2024-01-15 08:00:00,1,downlink_traffic_gb,latency_ms,active_users,F6,"{'downlink_traffic_gb': 4.0, 'latency_ms': 3.85, 'active_users': 3.54}"
S0,2024-01-15 08:30:00,2024-01-15 11:00:00,11,downlink_traffic_gb,cpu_load,active_users,F6,"{'downlink_traffic_gb': 3.79, 'cpu_load': 3.68, 'active_users': 3.61}"
S0,2024-01-15 11:30:00,2024-01-15 11:30:00,1,temperature_c,active_users,downlink_traffic_gb,F6,"{'temperature_c': 2.48, 'active_users': 2.45, 'downlink_traffic_gb': 2.36}"
S0,2024-01-15 17:30:00,2024-01-15 17:30:00,1,downlink_traffic_gb,latency_ms,cpu_load,F6,"{'downlink_traffic_gb': 3.55, 'latency_ms': 3.29, 'cpu_load': 3.17}"
S0,2024-01-15 18:00:00,2024-01-15 23:15:00,22,downlink_traffic_gb,cpu_load,active_users,F6,"{'downlink_traffic_gb': 4.45, 'cpu_load': 4.29, 'active_users': 4.25}"
S0,2024-01-15 23:45:00,2024-01-16 00:45:00,5,supply_voltage_v,handover_success_rate,signal_quality_db,F1,"{'supply_voltage_v': 0.47, 'handover_success_rate': 0.46, 'signal_quality_db': 0.24}"
S0,2024-01-16 08:15:00,2024-01-16 09:15:00,5,downlink_traffic_gb,cpu_load,active_users,F6,"{'downlink_traffic_gb': 4.04, 'cpu_load': 3.96, 'active_users': 3.86}"
S0,2024-01-16 09:45:00,2024-01-16 10:45:00,5,downlink_traffic_gb,active_users,cpu_load,F6,"{'downlink_traffic_gb': 3.82, 'active_users': 3.57, 'cpu_load': 3.52}"
S0,2024-01-16 11:15:00,2024-01-16 11:15:00,1,active_users,retransmission_rate,downlink_traffic_gb,F6,"{'active_users': 2.8, 'retransmission_rate': 2.64, 'downlink_traffic_gb': 2.59}"
S0,2024-01-16 17:15:00,2024-01-16 17:15:00,1,active_users,downlink_traffic_gb,cpu_load,F6,"{'active_users': 3.0, 'downlink_traffic_gb': 2.93, 'cpu_load': 2.86}"
S0,2024-01-16 17:45:00,2024-01-16 23:30:00,24,downlink_traffic_gb,active_users,cpu_load,F6,"{'downlink_traffic_gb': 4.19, 'active_users': 4.09, 'cpu_load': 4.09}"
S0,2024-01-17 00:00:00,2024-01-17 01:00:00,5,handover_success_rate,uplink_interference_dbm,signal_quality_db,F5,"{'handover_success_rate': 0.63, 'uplink_interference_dbm': 0.45, 'signal_quality_db': 0.42}"
S0,2024-01-17 08:00:00,2024-01-17 10:30:00,11,downlink_traffic_gb,active_users,cpu_load,F6,"{'downlink_traffic_gb': 3.87, 'active_users': 3.85, 'cpu_load': 3.78}"
S0,2024-01-17 11:00:00,2024-01-17 11:15:00,2,downlink_traffic_gb,latency_ms,active_users,F6,"{'downlink_traffic_gb': 2.98, 'latency_ms': 2.71, 'active_users': 2.66}"
S0,2024-01-17 17:30:00,2024-01-18 00:45:00,30,downlink_traffic_gb,active_users,cpu_load,F6,"{'downlink_traffic_gb': 3.59, 'active_users': 3.4, 'cpu_load': 3.39}"
S0,2024-01-18 08:00:00,2024-01-18 11:00:00,13,downlink_traffic_gb,active_users,cpu_load,F6,"{'downlink_traffic_gb': 3.81, 'active_users': 3.68, 'cpu_load': 3.56}"
S0,2024-01-18 17:15:00,2024-01-18 17:15:00,1,retransmission_rate,cpu_load,active_users,F6,"{'retransmission_rate': 3.3, 'cpu_load': 2.95, 'active_users': 2.83}"
S0,2024-01-18 18:00:00,2024-01-19 00:45:00,28,downlink_traffic_gb,active_users,cpu_load,F6,"{'downlink_traffic_gb': 3.52, 'active_users': 3.44, 'cpu_load': 3.35}"
S0,2024-01-19 07:30:00,2024-01-19 07:30:00,1,uplink_interference_dbm,cpu_load,active_users,F5,"{'uplink_interference_dbm': 3.73, 'cpu_load': 3.54, 'active_users': 3.5}"
S0,2024-01-19 08:00:00,2024-01-19 10:15:00,10,downlink_traffic_gb,cpu_load,active_users,F6,"{'downlink_traffic_gb': 3.93, 'cpu_load': 3.82, 'active_users': 3.78}"
S0,2024-01-19 10:45:00,2024-01-19 10:45:00,1,downlink_traffic_gb,cpu_load,active_users,F6,"{'downlink_traffic_gb': 3.27, 'cpu_load': 3.17, 'active_users': 3.1}"
S0,2024-01-19 17:30:00,2024-01-19 17:30:00,1,active_users,latency_ms,downlink_traffic_gb,F6,"{'active_users': 3.27, 'latency_ms': 3.24, 'downlink_traffic_gb': 3.12}"
S0,2024-01-19 18:00:00,2024-01-19 23:30:00,23,downlink_traffic_gb,active_users,cpu_load,F6,"{'downlink_traffic_gb': 4.25, 'active_users': 4.15, 'cpu_load': 4.1}"
